Instancia ,Tiempo en gams,Valor optimo en gams ,Tiempo Algoritmo genetico ,Valor  Genetico ,Tiempo ACO,Valor ACO
1_40,19.839,110.4,2.413607359,130.6947202,65.27074909,112.362968
2_40,24.495,146.7,2.560993195,158.0592766,64.29639101,152.7447444
3_40,1.977,142,2.320510149,161.2097519,63.35518074,143.8156855
4_40,21.347,111.9,2.3355968,141.4836009,69.35354972,112.6708469
5_40,3.423,150,2.452739,178.7798265,67.30658674,156.3874266
6_40,0.521,139,2.271569252,163.7754024,67.26738644,141.7797674
7_40,4.541,133,2.336823225,155.5731536,66.56945539,139.2916037
8_40,31.29,139.4,2.627429724,164.5356422,69.23427296,143.7814262
9_40,218.02,104.5,3.059360027,134.5864864,94.59936881,106.7842568
10_40,5.539,140.4,3.405384064,173.9642012,94.41677308,144.1197697
1_100,,,8.643567085,681.1188011,335.9277973,211.7067031
2_100,,,8.813872576,714.9924659,357.5632524,166.1819788
3_100,,,8.72770071,804.6946585,355.4975705,244.2476512
4_100,,,8.489142895,682.9217804,340.7784805,161.5370393
5_100,,,8.453123331,795.7654196,349.0113735,217.3353418
6_100,,,8.805492878,828.6785802,334.8355238,232.8374714
7_100,,,8.790143967,773.069777,332.344882,217.5291293
8_100,,,9.158999681,726.900986,474.0691485,181.7455704
9_100,,,13.49855876,727.651506,500.9368889,198.2147088
10_100,,,14.03085351,732.5207954,412.3757143,216.63445
1_150,,,16.51609015,1200.237946,700.119005,244.3261413
2_150,,,16.02835131,1251.500068,718.1073234,308.3883918
3_150,,,16.04426193,1170.466513,708.7506177,204.8512294
4_150,,,16.92461872,1184.75065,717.9284611,247.021476
5_150,,,17.68180609,1215.73688,728.4461188,245.4665798
6_150,,,17.19252443,1248.733778,753.8669448,257.3886507
7_150,,,16.32491755,1230.95693,872.2081177,278.2936352
8_150,,,16.15735793,1240.489781,895.4177699,280.5321313
9_150,,,16.86129808,1227.379517,875.8444848,281.8308637
10_150,,,20.17865491,1252.389585,793.7681437,290.0236708
1_200,,,26.34391379,1731.143882,1221.062407,327.9852594
2_200,,,26.75013256,1607.844232,1197.510653,298.4058933
3_200,,,27.43619633,1699.572003,1210.411591,322.390769
4_200,,,28.5678606,1722.420964,1186.226048,322.3352999
5_200,,,29.63912082,1655.770888,1327.430073,299.2946842
6_200,,,26.96854973,1687.709051,1400.004808,325.9247016
7_200,,,28.29863548,1728.878232,1359.296532,290.26739
8_200,,,25.91914177,1715.914982,1299.10512,332.1381838
9_200,,,27.06801724,1698.397781,1248.378865,299.2969111
10_200,,,40.55148935,1684.145483,1000.905322,321.2496584